"","status","czasObslugi","lp","idGrupy","liczbaCzynnychStan","nazwaGrupy","literaGrupy","liczbaKlwKolejce","aktualnyNumer"
"1","0","60","1","158",0,"A: ODPADY KOMUNALNE| UŻYTKOWANIE WIECZYSTE| PRZEKSZTAŁCENIA","A",0,""
"2","0","30","2","301",0,"O: 300+ DOBRY START| 500+ ŚWIADCZENIE WYCHOWAWCZE","O",0,""
"3","0","10","3","197",0,"W: DODATKI| OBNIŻKI CZYNSZU","W",0,""
"4","0","60","4","196",0,"N: SPRAWY LOKALOWE| KARTA DUŻEJ RODZINY| BON ŻŁOBKOWY","N",0,""
"5","0","60","5","195",0,"T: ALKOHOL – ZEZWOLENIA","T",0,""
"6","0","10","6","164",0,"G: SKŁADANIE WNIOSKÓW PASZPORTOWYCH","G",0,""
"7","0","10","7","165",0,"H: ODBIÓR  PASZPORTÓW","H",0,""
"8","0","10","8","191",0,"R: ODBIÓR DOWODÓW OSOBISTYCH","R",0,""
"9","0","10","9","199",0,"Z: WYBORY","Z",0,""
"10","0","60","10","168",0,"K: ŚWIADCZENIA RODZINNE I FUNDUSZ ALIMENTACYJNY","K",0,""
"11","0","10","11","213",0,"E: KASY - PEŁNOMOCNICTWA| ODPADY| OPŁATY: SKARBOWE| USC| PASZPORTOWE|  INNE","E",0,""
"12","0","10","12","171",0,"M: SKŁADANIE WNIOSKÓW - ZMIANY| WTÓRNIKI| ZBYCIE| ADNOTACJE| WYREJESTROWANIE (OSOBY FIZYCZNE)","M",0,""
"13","0","60","13","161",0,"D: PŁATNOŚĆ PODATKU| UŻYTKOWANIA| DZIERŻAWY| ZA ZAJĘCIE PASA","D",0,""
"14","0","10","14","159",0,"B: ARCHITEKTURA|GEODEZJA| INFRASTRUKTURA| OCHRONA ŚRODOWISKA","B",0,""
"15","0","10","15","169",0,"L: SKŁADANIE WNIOSKÓW| ODBIÓR PRAW JAZDY","L",0,""
"16","0","60","16","162",0,"I: INFORMACJA PODATKOWA| KARTA WARSZAWIAKA","I",0,""
"17","0","60","17","190",0,"P: SKŁADANIE WNIOSKÓW: ZAMELDOWANIA| WYMELDOWANIA| DOWODY OSOBISTE| ZAŚWIADCZENIA","P",0,""
"18","0","10","18","173",0,"X: ODBIÓR STAŁYCH DOWODÓW REJESTRACYJNYCH (OSOBY PRAWNE)","X",0,""
"19","0","10","19","172",0,"U: ODBIÓR STAŁYCH DOWODÓW REJESTRACYJNYCH (OSOBY FIZYCZNE)","U",0,""
"20","0","60","20","194",0,"S: WPIS DO CEIDG","S",0,""
